channelId,title,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCQtcdZ7eN5Ek9wraCtCVzGQ,'Rei Ch. 明霧れい',2022-05-28T04:17:44.936987Z,11784,213,False,210
UC4drTm13k1Keo3Y04tgk6pw,'雨音水月 / Amane Mitsuki',2020-11-20T14:39:15.972343Z,238962,1560,False,276
UCx8Uvt6c5fZcDGiOlr8_rCw,'柑月ゆの / Kanduki Yuno ch.',2016-02-29T11:03:50Z,42646,10900,False,53
UCDMifKvJ8SgNTkfHenpc3Wg,'八雲れん',2022-02-15T05:48:35.840678Z,5992682,14200,False,637
UCeil9itBhrT7b1J3EylPdyA,'M4LZEL Ch / メルツェル',2012-12-09T13:00:24Z,1438,75,False,46
UCB7xErFMpLVkGw_Mm1a-nog,'篝 鬼灯-Kagari Hoduki-',2022-12-23T15:23:26.281612Z,15558,136,False,35
UC6PJ5D0dI_FgTjuSwYwUK-g,'蛇蝎 Channel ｰDakatsu_Half Real-',2014-07-07T16:04:12Z,97675,355,False,153
UC4aiwUeuq4Ax_sqDM5SAj9g,'LAN堂ch',2012-12-29T02:58:02Z,19478,238,False,751
UCeaZjnVTc5q6rNOBNzj26Lg,'すぱいくちゃんねる',2014-03-23T06:00:51Z,12102,216,False,133
UC3Nyg7ZVWxdt9tnnmFY7HqA,'髑髏まり子(しゃれこうべまりこ)',2010-05-05T13:25:33Z,12241,117,False,66
UCJWMbEeXcBbpFpH5iRSIupA,'来幸える',2023-07-16T15:36:04.248352Z,17603,174,False,174
UCpzHDnMS67OUSppK_zfIVxg,'Gin Channel / 狐狛ぎん@新人Vtuber',2024-03-24T06:08:27.973282Z,258058,1820,False,54
UCFJiU5Q2tb8nTkt2h3yaSFw,'むらびと【村乃ひとは】',2022-12-13T09:00:48.683984Z,2037296,6800,False,312
UC23peOPQ0qQLLME5TwDP6AA,'花乃森そまり | Somari Ch.',2023-12-08T14:08:50.744538Z,280471,1330,False,104
UCUG0EfG2NA_Bc2U8nJEeesg,'イオス・クヴェル',2023-12-06T12:23:47.988035Z,5992,50,False,47
UCzneYx1RnmjPWX_WQH8svlA,'夜宵とばり',2023-08-04T03:16:03.701031Z,8124,198,False,64
UCdktACSrw2uHkL_cl1VbudQ,'Tenchama Ch. 天ちゃま',2009-11-11T01:23:23Z,3704,53,False,50
UCWMnIQcOWiYqf4r8H3de_1Q,'眼々敷まける',2024-01-21T12:20:07.279824Z,3962,50,False,62
UCTnzSI6PZT99WlrrI26u0EQ,'うとんつゆch - Uton Tsuyu ',2020-04-17T17:09:07.727716Z,3615,48,False,236
UCqDUUJgkW58TS5DoE7UFd2Q,'姫澄 ユア ch / Kisumi Yua ch.',2023-11-22T02:48:43.604259Z,11427,361,False,39
UCxn4HDZWTQom7boE9cICe_g,'さくな さく【セルフ受肉VTuber】',2021-09-20T13:55:15.901116Z,29668,214,False,173
UC2qm85KxNGsi-a6PxiLBNsQ,'月神悠莉-つきかみゆうり　大天災のカオスな趣味ch',2022-03-13T23:08:12.788548Z,6977,126,False,86
UCrBJbi_YwKNPgBfAbu_m4mQ,'苫漓ポキ',2022-11-29T11:30:38.154647Z,116398,3040,False,929
UCtQuYUnvFJt7VUF6iNN8X6A,'鋼 雅仁 / Hagane Masahito',2018-02-24T05:50:07Z,39733,878,False,59
UCL30cxyo5E8lk_iOK-aZYOg,'コウ / The Devil's kou',2023-05-20T14:10:52.016544Z,1905,29,False,53
UCBKzNNiJV88UX2i7-vbEDsg,'杏仁戌まる Anii Maru Ch.',2023-11-06T08:30:45.777897Z,37350,487,False,90
UCs4_iv21f7Qi6Abldk9wi0w,'ちぃ',2019-06-29T14:37:56Z,620536,2060,False,783
UCeWb8YN2qD-nwM1QNFIYbUw,'矢白木あるみ',2023-01-17T11:11:03.442974Z,891,84,False,12
UC8LXwD_um1PHnHBMOBf3iMQ,'花京院 リク / Kakyouin Riku Ch.',2023-10-20T07:09:01.025134Z,31606,79,False,25
UCoAAEbqKDnRKt3n9bJZzJ4Q,'雛守 戀(Hinamori Ren)',2023-10-31T15:33:20.901085Z,2768,11,False,54
UC3jC1ep40tUfLSsN0i2zQKg,'DJTM Gaming room',2021-03-20T10:16:49.122058Z,143861,1310,False,907
UCkJ6UiY92kRi-wlerXPeOdg,'こむそうChannel',2024-04-07T02:38:21.897169Z,2868,1180,False,42
